Error Code,URL,Error Message
1,https://paulgraham.com/kids.html,'utf-8' codec can't decode byte 0x97 in position 3923: invalid start byte
2,https://paulgraham.com/orth.html,'utf-8' codec can't decode byte 0x97 in position 2528: invalid start byte
3,https://paulgraham.com/conformism.html,'utf-8' codec can't decode byte 0x97 in position 7846: invalid start byte
4,https://paulgraham.com/say.html,'utf-8' codec can't decode byte 0x97 in position 3703: invalid start byte
5,https://paulgraham.com/makersschedule.html,'utf-8' codec can't decode byte 0x96 in position 2824: invalid start byte
6,https://paulgraham.com/worked.html,'utf-8' codec can't decode byte 0x97 in position 2925: invalid start byte
7,https://paulgraham.com/ace.html,'utf-8' codec can't decode byte 0x97 in position 2595: invalid start byte
8,https://paulgraham.com/lesson.html,'utf-8' codec can't decode byte 0x97 in position 7446: invalid start byte
9,https://paulgraham.com/users.html,'utf-8' codec can't decode byte 0xf6 in position 11870: invalid start byte
10,https://paulgraham.com/mod.html,'utf-8' codec can't decode byte 0x97 in position 5191: invalid start byte
11,https://paulgraham.com/hw.html,'utf-8' codec can't decode byte 0x93 in position 5971: invalid start byte
12,https://paulgraham.com/trolls.html,'utf-8' codec can't decode byte 0x97 in position 2361: invalid start byte
13,https://paulgraham.com/ycstart.html,'utf-8' codec can't decode byte 0x97 in position 2848: invalid start byte
14,https://paulgraham.com/earnest.html,'utf-8' codec can't decode byte 0x97 in position 4082: invalid start byte
15,https://paulgraham.com/genius.html,'utf-8' codec can't decode byte 0xe9 in position 15942: invalid continuation byte
16,https://paulgraham.com/ineq.html,'utf-8' codec can't decode byte 0xe9 in position 26970: invalid continuation byte
17,https://paulgraham.com/nft.html,'utf-8' codec can't decode byte 0x92 in position 3110: invalid start byte
18,https://paulgraham.com/rootsoflisp.html,'utf-8' codec can't decode byte 0x97 in position 2734: invalid start byte
19,https://paulgraham.com/startupideas.html,'utf-8' codec can't decode byte 0xe9 in position 37857: invalid continuation byte
20,https://paulgraham.com/fp.html,'utf-8' codec can't decode byte 0x97 in position 2833: invalid start byte
21,https://paulgraham.com/top.html,'utf-8' codec can't decode byte 0x97 in position 5398: invalid start byte
